"Source","Target","flights_count","flight_year"
"KMDW","KORF","7.0","2020"
"KORD","KTNU","12.0","2020"
"PANC","40AK","18.0","2020"
"KHXF","KLNR","2.0","2020"
"KDTW","02XS","3.0","2020"
"KIPJ","KBUY","1.0","2020"
"KVUO","8OR6","1.0","2020"
"KSTS","KO69","3.0","2020"
"83IS","4IL8","1.0","2020"
"SC34","SC26","1.0","2020"
"KSUE","K3CK","1.0","2020"
"EDDN","EDFS","2.0","2020"
"KBUR","KSTS","1.0","2020"
"KDEN","67KY","6.0","2020"
"KSMF","KSMF","7.0","2020"
"KGKY","MO18","1.0","2020"
"KPDX","KFAT","8.0","2020"
"LROP","ESMS","2.0","2020"
"KLGA","KONZ","10.0","2020"
"KPHX","KSAF","7.0","2020"
"KDZB","KDAL","1.0","2020"
"KORD","VT22","1.0","2020"
"KFAT","33CL","1.0","2020"
"KCMH","KPWK","4.0","2020"
"KCVG","KDEN","13.0","2020"
"LIBD","LIMC","1.0","2020"
"KMQY","91IN","1.0","2020"
"KTYS","KTYS","24.0","2020"
"KPHL","6PA9","5.0","2020"
"SC24","SC34","1.0","2020"
"KADS","KAFW","1.0","2020"
"LSGC","EDFH","1.0","2020"
"EIDW","EDDK","7.0","2020"
"EDDF","GOBD","6.0","2020"
"FA60","FD20","1.0","2020"
"LPPT","LSZH","4.0","2020"
"KNSI","KOXR","2.0","2020"
"2TS8","6XS9","1.0","2020"
"KTEB","KBJC","2.0","2020"
"KPDK","KGVL","5.0","2020"
"KLGB","CL46","2.0","2020"
"00KS","9KS7","1.0","2020"
"KPNE","89NJ","2.0","2020"
"KFCM","KPWK","1.0","2020"
"KMDW","07KY","1.0","2020"
"SAEZ","SADQ","1.0","2020"
"KPTD","VT22","2.0","2020"
"36NC","3NC3","1.0","2020"
"KORF","KMSP","3.0","2020"
"KMIA","KAGC","3.0","2020"
"NZCH","NZRT","1.0","2020"
"EGLL","LFBO","2.0","2020"
"ETNH","ETSB","4.0","2020"
"KPHF","KCPK","2.0","2020"
"KFWA","II74","2.0","2020"
"KABQ","KPNE","1.0","2020"
"KO37","8CL6","1.0","2020"
"EDRY","EDFE","1.0","2020"
"KSDL","5AZ7","1.0","2020"
"KLAS","KU08","1.0","2020"
"KMHT","KORD","2.0","2020"
"TX03","KGKY","4.0","2020"
"KLOM","PA43","2.0","2020"
"KRYY","KSPG","1.0","2020"
"KMCN","KDCU","1.0","2020"
"90TE","KADS","1.0","2020"
"KPHF","35NC","1.0","2020"
"KRYY","KDNN","4.0","2020"
"KX50","KLOM","1.0","2020"
"KBOW","FA80","1.0","2020"
"KTEB","KPMP","1.0","2020"
"7PS7","SC08","2.0","2020"
"EBLG","BIKF","7.0","2020"
"41XS","KEDC","1.0","2020"
"KFLL","KLBE","2.0","2020"
"NY38","90NY","1.0","2020"
"ESOW","ESVA","1.0","2020"
"EDRP","EDFM","1.0","2020"
"KMAL","KSCH","1.0","2020"
"EGKB","EGFF","1.0","2020"
"KA39","KTUS","1.0","2020"
"KJQF","KSVH","1.0","2020"
"FL57","33FA","1.0","2020"
"KSNA","KFFZ","1.0","2020"
"KBOW","66FD","1.0","2020"
"EDFS","EDDN","1.0","2020"
"ELLX","WMKK","1.0","2020"
