"airport_id","airport_name","airport_type","airport_lat","airport_lng","country_iso_2_code","country_iso_3_code","country_name","continent_name","country_lat","country_lng","avg_cases_per_week_14","population","avg_cases_population_ratio_per_week_14","covid19_percentage_label"
"KH92","Hominy Municipal Airport","small_airport","36.44269943237305","-96.38719940185547","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"KMDT","Harrisburg International Airport","medium_airport","40.1935005188","-76.7633972168","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"KMIW","Marshalltown Municipal Airport","small_airport","42.112701416015625","-92.91780090332031","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"KNGS","Santa Rosa Nolf Airport","small_airport","30.61079978942871","-86.94000244140625","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"KTAZ","Taylorville Municipal Airport","small_airport","39.53419876098633","-89.32779693603516","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"KU42","South Valley International Airport","large_airport","40.619499","-111.992996","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"KUKT","Quakertown Airport","small_airport","40.435199737549","-75.381896972656","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"KVBG","Vandenberg Air Force Base","large_airport","34.7373008728","-120.583999634","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"KW78","William M Tuck Airport","small_airport","36.7099990845","-78.84799957279999","US","USA","United States","North America","37.09024","-95.712891","1.562819257142857E7","331002647.0","4.721470572236412","4.72%"
"LETO","Madrid–Torrejón Airport / Torrejón Air Base","medium_airport","40.487875","-3.456808","ES","ESP","Spain","Europe","40.463667","-3.74922","1722304.0714285714","46754783.0","3.683696000532333","3.68%"
"LFCA","Aérodrome de Châtellerault-Targé","small_airport","46.781399","0.551944","FR","FRA","France","Europe","46.227638","2.213749","2513861.4285714286","67564251.0","3.720697545468873","3.72%"
"LFMN","Nice-Côte d'Azur Airport","large_airport","43.6584014893","7.215869903560001","FR","FRA","France","Europe","46.227638","2.213749","2513861.4285714286","67564251.0","3.720697545468873","3.72%"
