"flight_date","dayofweek","airplane_code","airport_source_code","airport_target_code","flights_count"
"2019-04-03","4","B738","ESGG","EGKK","2"
"2019-04-03","4","MD11","KORD","EDDF","1"
"2019-04-03","4","B77W","WMKK","RCTP","1"
"2019-04-03","4","A319","EBBR","LIRQ","1"
"2019-04-03","4","B737","UUWW","UG24","2"
"2019-04-03","4","A333","ESSA","KHHR","1"
"2019-04-03","4","","URRP","UG24","1"
"2019-04-03","4","B738","LPPT","LIRA","1"
"2019-04-03","4","A321","EDDF","EGPH","2"
"2019-04-03","4","A333","LIRF","LTBU","1"
"2019-04-03","4","","LSZH","VHHH","1"
"2019-04-03","4","A332","OTHH","VOBL","1"
"2019-04-03","4","B737","EKBI","EHAM","1"
"2019-04-03","4","B738","SLCY","SBGR","2"
"2019-04-03","4","LJ75","EDDM","EGSS","1"
"2019-04-03","4","B789","OERK","OMAA","1"
"2019-04-03","4","F2TH","LEMD","LFLY","1"
"2019-04-03","4","B77W","EBBR","OTHH","1"
"2019-04-03","4","A346","MMMX","EDDM","1"
"2019-04-03","4","BE20","LRBS","LKPR","1"
"2019-04-03","4","","LHBP","EFHK","1"
"2019-04-03","4","E190","EDDS","EFHK","1"
"2019-04-03","4","B77W","KJFK","RJAK","2"
"2019-04-03","4","A320","UUEE","ESGG","1"
"2019-04-03","4","A359","KSFO","WIDD","1"
"2019-04-03","4","A332","LOWW","LTBW","1"
"2019-04-03","4","B737","KLAS","CYYZ","1"
"2019-04-03","4","B738","EDDB","LLBG","1"
"2019-04-03","4","","KLAX","SAEZ","1"
"2019-04-04","5","A332","KJFK","LIMC","1"
"2019-04-04","5","B748","UUEE","VHHH","1"
"2019-04-04","5","A320","LCLK","LGAV","2"
"2019-04-04","5","A320","LLBG","LCLK","1"
"2019-04-04","5","B789","ZBAA","EHAM","1"
"2019-04-04","5","CRJ9","EFHK","ESSA","3"
"2019-04-04","5","A320","RCTP","RJBK","1"
"2019-04-04","5","","LOWW","EDDT","5"
"2019-04-04","5","A320","WBKK","WIDD","1"
"2019-04-04","5","A20N","ESSA","LMML","1"
"2019-04-04","5","A359","YMML","VHHH","2"
"2019-04-04","5","B738","LIRA","LPPT","1"
"2019-04-04","5","B738","EBBR","LIMC","2"
"2019-04-04","5","","LIRA","LFPB","1"
"2019-04-04","5","B738","EHEH","EKCH","1"
"2019-04-04","5","A320","EGCC","EDDT","1"
"2019-04-04","5","B738","LTBK","EDDM","1"
"2019-04-04","5","A388","OTHH","EDDF","1"
"2019-04-04","5","A359","LEBL","OTHH","2"
"2019-04-04","5","A320","EGGW","LGKR","1"
"2019-04-04","5","B737","LOWW","LROP","1"
"2019-04-04","5","DH8D","LFPG","ELLX","2"
"2019-04-04","5","B738","EPSC","EGGP","1"
"2019-04-04","5","A320","EDDF","EVRA","1"
"2019-04-04","5","B737","LIMC","LKPR","1"
"2019-04-04","5","A320","LEMD","LFPG","6"
"2019-04-04","5","A320","EPKK","EGCC","1"
"2019-04-04","5","B738","ENGM","EIDW","2"
"2019-04-04","5","B738","EBBR","LIRF","2"
"2019-04-04","5","A320","EDDF","LBSF","1"
"2019-04-04","5","A321","LEMD","EFHK","1"
"2019-04-04","5","A321","LOWW","LGAV","1"
"2019-04-04","5","","EDDM","LIRP","1"
"2019-04-04","5","B737","EDDF","LROP","2"
"2019-04-04","5","A321","EDDM","LHBP","1"
