"airport_id","airport_name","airport_type","airport_lat","airport_lng","country_iso_2_code","country_iso_3_code","country_name","continent_name","country_lat","country_lng","cases_per_week_14","population","covid19_percentage","covid19_percentage_label","report_year"
"6OR6","Wonder Airport","small_airport","42.39149856567383","-123.53500366210938","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"09ME","Perrotti Skyranch Airfield","small_airport","43.34080123901367","-70.85469818115234","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"22MS","Sky Landings Airport","small_airport","30.840278","-88.574722","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"3PN3","Countryside Airport","small_airport","41.28369903564453","-76.03520202636719","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"0AR2","Mission Field-Marotti Memorial Airport","small_airport","35.26679992675781","-90.35009765625","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"54TA","George P Shanks Airport","small_airport","32.29970169067383","-96.87329864501953","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"KF47","St George Island Airport","small_airport","29.645999908447266","-84.9166030883789","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"NTTM","Moorea Airport","medium_airport","-17.49","-149.761993","PF","PYF","French Polynesia","Oceania","-17.679742","-149.406843","0","280904.0","0.0","0.00%","2021"
"9OK5","Diamond C Ranch Airport","small_airport","34.77830123901367","-96.92749786376953","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"IG02","Ratcliff Airport","closed","40.273102","-86.907501","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"TN81","Shultz Airport","small_airport","35.7489013671875","-86.8135986328125","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"LL51","Riley's Field","small_airport","41.60419845581055","-88.27369689941406","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"PS03","Elephant Path Airport","small_airport","40.410400390625","-75.22930145263672","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"KLHZ","Triangle North Executive Airport","small_airport","36.0233","-78.330299","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"2OI2","Air Jordan Airport","small_airport","39.561100006103516","-84.0519027709961","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"KRZN","Burnett County Airport","small_airport","45.82270050048828","-92.37249755859375","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"LIER","Oristano-Fenosu Airport","small_airport","39.895308","8.642661","IT","ITA","Italy","Europe","41.87194","12.56738","3769814.0","60461828.0","6.235031464811153","6.24%","2021"
"CA62","McMillan Assault Strip","small_airport","35.719101","-120.767998","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"YWOL","Shellharbour Airport","medium_airport","-34.5611","150.789001","AU","AUS","Australia","Oceania","-25.274398","133.775136","29419.0","25499881.0","0.11536916584042098","0.12%","2021"
"NK05","Tom N' Jerry Airport","small_airport","42.354801177978516","-76.51609802246094","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"3KY9","Miles Field","small_airport","38.125","-85.125","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"KLOM","Wings Field","small_airport","40.1375007629","-75.2650985718","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"OH66","Obannon Creek Aerodrome","small_airport","39.239498138427734","-84.17630004882812","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"KRNV","Cleveland Municipal Airport","small_airport","33.76110077","-90.75789642","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"EDSR","Radolfzell-Stahringen Airport","small_airport","47.8044444444","8.98055555556","DE","DEU","Germany","Europe","51.165691","10.451526","3012158.0","83783945.0","3.595149404817355","3.60%","2021"
"YPEF","Penfield Airfield","small_airport","-37.5133018494","144.697998047","AU","AUS","Australia","Oceania","-25.274398","133.775136","29419.0","25499881.0","0.11536916584042098","0.12%","2021"
"19OR","Nelson Ranch Airport","small_airport","45.10960006713867","-121.2239990234375","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"FA42","Sheets Airport","small_airport","28.532899856567383","-81.8467025756836","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"PR20","Adjuntas Airport","small_airport","18.1802","-66.756897","PR","PRI","Puerto Rico","North America","18.220833","-66.590149","","","","","2021"
"WI36","Dolhun Field","small_airport","45.826599","-89.620102","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"KLKR","Lancaster County-Mc Whirter Field","small_airport","34.72290039","-80.854599","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"YRBN","Robertson Airstrip","small_airport","-34.6449","150.6421","AU","AUS","Australia","Oceania","-25.274398","133.775136","29419.0","25499881.0","0.11536916584042098","0.12%","2021"
"KHGR","Hagerstown Regional Richard A Henson Field","medium_airport","39.707901","-77.72949982","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"IA30","Kleis Airport","small_airport","42.29999923706055","-90.7500991821289","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"CYGP","Gaspé (Michel-Pouliot) Airport","medium_airport","48.7752990723","-64.4785995483","CA","CAN","Canada","North America","56.130366","-106.346771","1067764.0","37742157.0","2.8291016859476263","2.83%","2021"
"K57C","East Troy Municipal Airport","small_airport","42.79719924926758","-88.37259674072266","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"88VA","Belmont Farm Airport","small_airport","38.37419891357422","-77.99189758300781","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"MS71","Slobovia Outernational Airport","small_airport","32.49509811401367","-90.29290008544922","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"ETHM","Mendig Airfield","medium_airport","50.366001","7.31533","DE","DEU","Germany","Europe","51.165691","10.451526","3012158.0","83783945.0","3.595149404817355","3.60%","2021"
"LKRO","Roudnice Airport","small_airport","50.41059875","14.2261","CZ","CZE","Czech Republic","Europe","49.817492","15.472962","1580189.0","10708982.0","14.755734952211144","","2021"
"KCWA","Central Wisconsin Airport","medium_airport","44.7775993347","-89.6668014526","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"73IN","Benham Airport","small_airport","38.97669982910156","-87.02249908447266","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"9GE7","Neely Farms Airport","small_airport","33.531389","-83.791944","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"LKCT","Chotěboř Airport","small_airport","49.68579864501953","15.67609977722168","CZ","CZE","Czech Republic","Europe","49.817492","15.472962","1580189.0","10708982.0","14.755734952211144","","2021"
"K3T5","Fayette Regional Air Center Airport","small_airport","29.908001","-96.949997","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"EDWZ","Baltrum Airport","small_airport","53.72472381591797","7.373332977294922","DE","DEU","Germany","Europe","51.165691","10.451526","3012158.0","83783945.0","3.595149404817355","3.60%","2021"
"EGLD","Denham Aerodrome","small_airport","51.5882987976","-0.513055980206","GB","GBR","United Kingdom","Europe","55.378051","-3.435973","4384954.0","67886004.0","6.459290194780061","6.46%","2021"
"9PA2","Old Plains Airport","small_airport","40.394500732421875","-75.44129943847656","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
"LEHC","Huesca/Pirineos Airport","small_airport","42.076099","-0.316667","ES","ESP","Spain","Europe","40.463667","-3.74922","3347512.0","46754783.0","7.159720963735411","7.16%","2021"
"KCTK","Ingersoll Airport","small_airport","40.5690994263","-90.074798584","US","USA","United States","North America","37.09024","-95.712891","31197877.0","331002647.0","9.425265109737929","9.43%","2021"
