"flight_date","flight_dayofweek","airplane_code","airport_source_code","airport_target_code","flights_count"
"2020-04-05","1","","KHWY","KHWY","3"
"2020-04-05","1","E145","KPHL","1NY3","1"
"2020-04-05","1","E75S","KLGA","KONZ","1"
"2020-04-05","1","A320","KTPA","KLGA","1"
"2020-04-05","1","","JY04","NJ96","1"
"2020-04-05","1","","KTYR","KDFW","1"
"2020-04-05","1","","KUUU","KOQU","2"
"2020-04-05","1","","KAUS","KRBD","1"
"2020-04-05","1","E145","KPHL","KABE","1"
"2020-04-05","1","","KAWO","WN53","1"
"2020-04-05","1","B739","KSFO","KATL","1"
"2020-04-05","1","","2OK4","KRVS","3"
"2020-04-05","1","","KBXK","KFFZ","1"
"2020-04-05","1","","K3B0","KCDW","1"
"2020-04-05","1","A319","KSAN","KORD","1"
"2020-04-05","1","B738","KSTL","KBOS","1"
"2020-04-05","1","C501","YPJT","YPAD","1"
"2020-04-05","1","","KDVN","KATW","1"
"2020-04-05","1","B737","KSAN","KDEN","1"
"2020-04-05","1","","6WA5","KRNT","1"
"2020-04-05","1","B737","KCLE","KORD","1"
"2020-04-05","1","A321","SC08","KSMF","1"
"2020-04-05","1","A321","KAKH","KLAS","1"
"2020-04-05","1","","LTBA","KORD","1"
"2020-04-05","1","A320","KSNA","KSEA","1"
"2020-03-30","2","DH8D","KPDX","43OR","1"
"2020-03-30","2","A320","RJFF","RJTT","4"
"2020-03-30","2","CRJ2","KDEN","KFAT","1"
"2020-03-30","2","CRJ7","KPHL","3OH5","1"
"2020-03-30","2","F70","YPMQ","YBBN","1"
"2020-03-30","2","A319","KISM","60CO","1"
"2020-03-30","2","A320","KSEA","KLAX","3"
"2020-03-30","2","E45X","KEWR","KORF","1"
"2020-03-30","2","B737","KMCI","FA40","1"
"2020-03-30","2","A320","KLAS","KSFO","5"
"2020-03-30","2","B77L","KDFW","PANC","1"
"2020-03-30","2","BE20","YBNS","YMEN","1"
"2020-03-30","2","TBM8","ELLX","LFPN","1"
"2020-03-30","2","BE20","KOLU","MY35","1"
"2020-03-30","2","SF34","YBBN","YSSY","1"
"2020-03-30","2","B752","KJFK","KATL","1"
"2020-03-30","2","C750","KPWK","KAPF","1"
"2020-03-30","2","TBM7","LFMO","LFBD","1"
"2020-03-30","2","B712","KATL","KPLR","2"
"2020-03-30","2","BN2P","EKRK","EKRK","1"
"2020-03-30","2","B737","KONT","KDEN","2"
"2020-03-30","2","CRJ2","KROA","KATL","2"
"2020-03-30","2","CRJ2","KDAY","KDTW","1"
"2020-03-30","2","B738","KSEA","KPHL","1"
"2020-03-30","2","C750","KOPF","KCPM","1"
"2020-03-30","2","B739","KORD","KPHX","2"
"2020-03-30","2","G450","KCLE","KMIA","1"
"2020-03-30","2","BE9L","KBDN","KPSP","1"
"2020-03-30","2","E190","KROC","KJFK","1"
"2020-03-30","2","C208","KBFD","7PS7","1"
"2020-03-30","2","B738","KHOU","KLGA","1"
"2020-03-30","2","A321","KCLT","KEWR","1"
"2020-03-30","2","B712","KCLT","KATL","2"
"2020-03-30","2","E75S","CYYZ","KDCA","1"
"2020-03-30","2","BE20","KNUQ","KNFG","1"
"2020-03-30","2","B738","UUEE","UUEE","3"
"2020-03-30","2","B763","KSDF","KSJC","1"
"2020-03-30","2","AS50","KEMT","KEMT","1"
"2020-03-30","2","A319","KDEN","KEWR","1"
"2020-03-30","2","B738","KPDX","KAUS","1"
"2020-03-30","2","B77L","EDDF","LTBA","1"
