"Source","Target","flights_count"
"VOMM","EHAM","1.0"
"OMDW","LIRF","1.0"
"RKSI","VTBS","24.0"
"ESSA","LTBA","1.0"
"K7L8","EDDK","1.0"
"ZGSZ","PANC","10.0"
"EGLL","EDDM","8.0"
"ESSB","EETN","5.0"
"EDDP","UUEE","12.0"
"LPPT","LROP","1.0"
"EGLL","LFPG","14.0"
"LPPT","LFPG","4.0"
"LOWW","EDDN","2.0"
"KEWR","ESSA","2.0"
"VGTJ","OTHH","2.0"
"EGLL","KCVG","1.0"
"EETN","ESQO","1.0"
"WMKK","LTBA","2.0"
"VAJJ","OMDB","1.0"
"WMKK","OMDW","1.0"
"EGLF","LSZG","1.0"
"KALB","BIKF","1.0"
"EHAM","KJFK","8.0"
"EDWF","EHGG","2.0"
"UUWW","EHAM","1.0"
"KWRI","LERT","1.0"
"ESMS","EBLG","4.0"
"KLAX","CYYC","1.0"
"LFML","LIME","1.0"
"KDFW","OTHH","2.0"
"LJLJ","LFPB","1.0"
"LKPD","EDDP","1.0"
"LTBA","LIMC","2.0"
"LFBD","EDDP","1.0"
"EBLG","LKTB","1.0"
"EBMB","EGNX","1.0"
"EDMA","EGTK","1.0"
"LOAN","EDPW","1.0"
"KORD","EHBK","3.0"
"LFPG","VIDP","6.0"
"EGKB","EDDL","1.0"
"RCTP","KSFO","7.0"
"VHHH","WMSA","8.0"
"LEMG","EFHK","2.0"
"LPPT","EDDL","3.0"
"LFLB","ULLP","2.0"
"LROP","EBLG","5.0"
"LIPE","EDDP","10.0"
"YPPH","WSSS","4.0"
"EGLL","EBBR","5.0"
"DAAG","LFLL","1.0"
"LFPG","EDDV","3.0"
"CYOW","KIAD","1.0"
"EBBR","ENGM","2.0"
"LLBG","EINN","1.0"
"ELLX","LFPN","1.0"
"YSSY","LSZH","1.0"
"KLGA","CYYZ","13.0"
"WSSS","ZGSZ","11.0"
"KCVG","EDDP","25.0"
"EETN","EPGD","5.0"
"EDDB","WMKK","1.0"
"EGLL","KMIA","10.0"
"KBED","LEMD","1.0"
"EHAM","LEMG","1.0"
"LIMC","RKSI","8.0"
"EHAM","SBGR","3.0"
"RCTP","RJGG","2.0"
"UDYZ","LKPR","1.0"
"ENGM","EDDV","5.0"
"YSSY","ZUCK","1.0"
"WMKK","VOMM","5.0"
"EHAM","VTBS","3.0"
"ESTA","EGLF","1.0"
"EGKB","LEBL","1.0"
"UMMS","OMDW","1.0"
"UUWW","EDDN","1.0"
"LPPR","EDDM","1.0"
"EKCH","ESSB","1.0"
"EBLG","LCLK","2.0"
"EHAM","EDDK","1.0"
"ETAR","KADW","1.0"
"EDDF","UAAA","1.0"
"EDDF","VCBI","2.0"
"LTBA","EDDK","2.0"
"LFPG","LGAV","3.0"
"UMMS","ESSA","3.0"
"LEBL","LFPG","10.0"
"EBOS","LFQL","1.0"
"EDDB","EBLG","2.0"
"ESKN","LHBP","3.0"
"EGLL","LFBO","2.0"
"EDDP","EGLL","4.0"
"TXKF","KFRG","1.0"
"LOWW","LHBP","2.0"
"LKPR","KBOS","1.0"
"UUEE","VIDP","1.0"
"KTEB","EGKB","1.0"
"EHAM","OMAF","1.0"
"ESGG","UUWW","1.0"
"DAAG","LFPB","1.0"
"LFPB","LDZA","1.0"
"GVNP","EINN","1.0"
"RKSI","KSFO","6.0"
"SAEZ","KMIA","4.0"
"LSGG","LKTB","1.0"
"EDDP","EBMB","4.0"
"EGNS","ELLX","1.0"
"RJBB","ZGSZ","4.0"
"YSSY","RJTE","7.0"
"RJTT","KDFW","1.0"
"CYMX","KSDF","5.0"
"EGNX","EKCH","4.0"
"EDDF","EBBR","13.0"
"CFQ7","KDEN","1.0"
"LCLK","LFPB","1.0"
"UUDD","LEBL","1.0"
"RJBB","UNNT","2.0"
"LYBE","EDDS","1.0"
"CYUL","DAAG","2.0"
"EBMB","KCVG","1.0"
"EICK","EGSS","5.0"
"OBBI","EBBR","1.0"
"LEBL","LIRF","1.0"
"LFBD","EDRZ","1.0"
"EDDS","EGLL","1.0"
"LKPR","EFHK","1.0"
"LTBA","KATL","1.0"
"LSZH","LPAZ","1.0"
"CYYZ","KPDK","1.0"
"OTHH","LEMD","8.0"
"EGSS","LFPG","10.0"
"LFPG","LTBW","6.0"
"EGLL","KBOS","7.0"
"EPKT","EDDK","5.0"
"EDDF","LEPA","3.0"
"EHAM","LKKL","2.0"
"SKBO","KTMB","3.0"
"KMSP","CYYC","6.0"
"EDDM","ENUL","2.0"
"KDFW","EHBK","2.0"
"KBOI","CKA8","1.0"
"EBOS","EDDK","1.0"
"WMKK","WSAP","5.0"
"VABB","OBBI","1.0"
"LSZH","LFLB","1.0"
"EBAW","LSGC","1.0"
"LPPT","EIDW","4.0"
"MROC","KUTA","3.0"
"UMMS","EFHK","1.0"
"VHHH","EDDP","20.0"
"RCKH","RJAA","1.0"
"LMML","EGLL","3.0"
"PANC","RCSS","2.0"
"BIKF","EKCH","5.0"
"EPWA","KORD","4.0"
"WMSA","RCSS","1.0"
"CYHM","EDDK","1.0"
"MMTJ","KONT","1.0"
"EVGA","ETOU","1.0"
"EDDP","LFOK","1.0"
"EDLV","EHTE","1.0"
"LTFJ","EDDB","1.0"
"KFLL","EBAW","1.0"
"PANC","RPLL","2.0"
"LFRS","EDDL","1.0"
"LSZB","LFBD","1.0"
"EDDL","LEVC","1.0"
"EKCH","ENGM","24.0"
"WSSS","VTBS","24.0"
"LYBE","ESSA","1.0"
"RJTT","YSSY","7.0"
"EDDF","LYBE","2.0"
"LOWW","LIMC","5.0"
"VMMC","ZGSZ","8.0"
"EGGP","LROP","3.0"
"FABA","EDDK","1.0"
"KLAX","RJTE","3.0"
"OBBI","VABB","1.0"
"KSDF","CYVR","4.0"
"CEB8","KOPF","1.0"
"VIDP","UUEE","1.0"
"DAAG","EGKB","1.0"
"KMSP","CYXE","4.0"
"LEPA","EHAM","1.0"
"EBBR","FABA","1.0"
"ZGGG","WMKK","1.0"
"EDDM","LPPR","1.0"
"LEZG","UUEE","1.0"
"MMML","KMYF","1.0"
"ELLX","LFQQ","1.0"
"LZIB","EFHK","1.0"
"KLAX","EGCN","1.0"
"CYYZ","KMCO","1.0"
"EDDF","LIME","1.0"
"LEZG","LKPR","1.0"
"KLAX","CYVR","13.0"
"LEMG","ESGG","2.0"
"LFLL","EGLL","3.0"
"EGLL","LSGG","13.0"
"EDFH","OMDW","3.0"
"EDDP","EKCH","12.0"
"LHBP","EHAM","3.0"
"ELLX","OBBI","2.0"
"LTAC","ENGM","1.0"
"LTBA","EHAM","4.0"
"SAEZ","EPWA","1.0"
"OMSJ","EBLG","1.0"
"EGLF","LJLJ","1.0"
"OMSJ","WSSS","1.0"
"KBED","EGSS","1.0"
"KMKE","CYWG","1.0"
"EGKK","LPFR","1.0"
"EHAM","FARA","1.0"
"CYYZ","SC08","6.0"
"LJLJ","LHBP","1.0"
"KSFO","CYVR","14.0"
"LIRA","EBLG","5.0"
"EBOS","LSGC","1.0"
"EGSS","KPHL","1.0"
"KORD","UUEE","5.0"
"VTBS","EYRU","1.0"
"OMDW","RCTP","4.0"
"UUEE","RKSI","4.0"
"KSPI","CYUL","1.0"
"EHAM","EETN","1.0"
"EKBI","ENGM","1.0"
"LEMG","KBOS","1.0"
"EFTU","ESSA","1.0"
"EGLL","VCBI","2.0"
"EPPO","EINN","1.0"
"EDDF","SBKP","1.0"
"KBUR","CYYZ","1.0"
"LKKL","EBLG","1.0"
"RJBB","VHHH","26.0"
"DAAG","EINN","1.0"
"EDDP","EGNX","38.0"
"EBBR","EDDP","24.0"
"ELLX","LIMC","5.0"
"VMMC","VHSK","4.0"
"LSZH","EDDT","5.0"
"KPHL","EDDK","6.0"
"RJBB","PANC","19.0"
"WMKK","YMML","5.0"
"LROP","ESMS","2.0"
"EBBR","VTBS","2.0"
"OTHH","EFHK","7.0"
"LKPR","LHBP","6.0"
"CZBB","KBLI","1.0"
"EGGW","LPPT","2.0"
"LFPG","EKCH","4.0"
"EDDS","LIPE","1.0"
"UUEE","EGLL","2.0"
"ETAR","KL65","1.0"
"EGHI","EGJA","1.0"
"LEMD","KLAX","1.0"
"BIKF","KIAD","3.0"
"EHAM","KATL","18.0"
"WMKK","VIDP","2.0"
"MMTJ","KRIR","3.0"
"LOWW","EDDK","5.0"
"LEBL","EDDF","7.0"
"CYYZ","KDTW","4.0"
"OTHH","YSSY","19.0"
"EDDP","EYVI","3.0"
"RKSS","PANC","1.0"
"RJBB","EBBR","1.0"
"CYUL","VT01","2.0"
"WSSS","YBBN","4.0"
"KDOV","EDDP","1.0"
"KVNY","CYYZ","2.0"
"VCBI","EDDF","1.0"
"KTEB","EINN","1.0"
"LEPA","EGLF","1.0"
"LROP","OMAA","1.0"
"KBOS","CYHM","1.0"
"OMDW","ELLX","8.0"
"KBOS","CYUL","5.0"
"CYUL","EDDF","7.0"
"KSDF","CYMX","5.0"
"EBBR","LHBP","5.0"
"KSFO","EIDW","1.0"
"RJBB","K2R2","1.0"
"EBBR","KCVG","5.0"
"KATL","EGLL","12.0"
"EPML","EDDB","1.0"
"LFPG","EGPH","3.0"
"EHAM","EBLG","2.0"
"EFHK","EBBR","1.0"
"GOBD","LIRF","1.0"
"KIAD","LEMD","1.0"
"EPWA","UUEE","1.0"
"EBLG","EDFH","1.0"
"EGLF","LOLW","1.0"
"EDDN","LHBP","4.0"
"LSZV","LOIH","1.0"
"OBBI","OTBH","3.0"
"EHEH","EPPO","2.0"
"RPLL","WSAP","3.0"
"KCVG","CYYC","5.0"
"EGLL","EDDT","10.0"
"MMMA","KIWA","1.0"
"LRSB","LHBP","1.0"
"UUEE","OTHH","1.0"
"EETN","EPKT","2.0"
"KIAH","CRK2","1.0"
"EGUN","CCV4","1.0"
"CYOW","78MI","4.0"
"CYHM","93OH","1.0"
"EDDK","LILV","1.0"
"EDDF","RJTT","2.0"
"LSZG","EGLF","1.0"
"MMTJ","CA75","1.0"
"OMDB","EDDF","12.0"
"LFPG","EFHK","9.0"
"LKPR","EDMA","1.0"
"EDSB","LFJL","1.0"
"EHTE","EDWF","1.0"
"KIAH","RJTT","2.0"
"LFJL","EDDC","1.0"
"EGCN","KJFK","2.0"
"LHBP","OTHH","4.0"
"EFHK","EKCH","5.0"
"OMDB","ELLX","1.0"
"UUWW","EVRA","5.0"
"LEAL","EHAM","4.0"
"EIDW","EGLF","1.0"
"RJFF","RPLL","1.0"
"KSAN","CYUL","1.0"
"LFPG","VABB","2.0"
"LSGG","UUWW","1.0"
"LKPR","ESSX","1.0"
"KATL","ELLX","1.0"
"KSDL","CYVR","1.0"
"73KY","OMDB","1.0"
"EDDF","FABA","2.0"
"CYHM","WN35","2.0"
"OERK","OMAA","2.0"
"SBGR","EGLL","6.0"
"EDDV","EGLL","1.0"
"OERK","EBLG","1.0"
"EDDB","LIME","4.0"
"EDTR","LSMD","1.0"
"LEVC","LFLU","1.0"
"OMSJ","EBOS","1.0"
"EDSB","LOWW","1.0"
"CYYC","KSAN","1.0"
"LTBA","EDDB","1.0"
"YSSY","ZGSZ","1.0"
"OMDB","OIKQ","4.0"
"LOWS","EDMD","1.0"
"EGGP","LIMC","1.0"
"LFPG","GMMB","1.0"
"KORD","SKBO","1.0"
"UAAA","OMSJ","1.0"
"EDDW","LEMU","1.0"
"VIDP","VTBS","1.0"
"CYYC","CO12","1.0"
"UKBB","EDDB","1.0"
"EGSS","EICK","5.0"
"EKCH","VTBS","2.0"
"WMKK","WSSS","7.0"
"EDDK","LEBL","3.0"
"EDDL","LPFR","2.0"
"EBLG","LJLJ","2.0"
"RCSS","RJTT","9.0"
"EGLL","CYVR","2.0"
"LIRE","ZGSZ","1.0"
"LHBP","EDDF","4.0"
"EDDF","YBBN","1.0"
"ETAR","LERT","1.0"
"ETAR","EHAM","1.0"
"EGLF","78MI","1.0"
"CYOW","KEWR","1.0"
"NZAA","YBBN","4.0"
"ZGSZ","LIMC","2.0"
"K2R2","EDDK","1.0"
"EBLG","ESSA","5.0"
"EIDW","CYYZ","3.0"
"CYUL","BIKF","3.0"
"EHAM","EDDB","1.0"
"LRBS","KIAD","1.0"
"KDEN","CRK2","3.0"
"UUDD","UDYZ","3.0"
"LEAL","BIKF","1.0"
"LTFJ","EDDP","5.0"
"ESSA","EPWA","1.0"
"VCBI","VTBD","1.0"
"EDDB","BIKF","1.0"
"EDDN","EHAM","1.0"
"EBLG","EFTU","1.0"
"ZGSZ","LIRE","1.0"
"EBLG","LIPZ","3.0"
"LFPG","KEWR","4.0"
"VHHH","WSSS","13.0"
"KSFO","RCTP","13.0"
"KCVG","EBMB","2.0"
"WMKK","EGLL","8.0"
"LGAV","LZIB","3.0"
"KIAD","OTHH","5.0"
"OTHH","ZUCK","2.0"
"MMTJ","KMDW","1.0"
"EDDT","EGLL","10.0"
"LFPG","GOBD","2.0"
"EDDS","EHEH","1.0"
"SBGR","KBOS","1.0"
"ESOW","EDDL","1.0"
"LSZA","LIMB","1.0"
"CYYZ","LTBW","1.0"
"EPGD","EDDB","1.0"
"EBLG","OTBH","1.0"
"EGLL","RKSI","10.0"
"ESSA","EHAM","5.0"
"UMMS","EDDF","1.0"
"K76G","CYPT","1.0"
"SBGR","LPPT","5.0"
"EDMA","LSGC","1.0"
"EHAM","KIAH","2.0"
"WSSS","OTHH","8.0"
"LTBA","UKBB","1.0"
"RJGG","KJFK","1.0"
"VTBS","NZAA","1.0"
"EGKK","EGJA","2.0"
"VABB","LFPG","1.0"
"EDFH","EBOS","1.0"
"EINN","EDDP","1.0"
"LIRF","LJLJ","1.0"
"EDDK","LSGG","1.0"
"KSFO","EHAM","3.0"
"EGNX","LIMC","6.0"
"LSZH","EDDF","16.0"
"EGPH","LFPG","4.0"
"EGLL","LMML","5.0"
"EHAM","EDDF","23.0"
"EIDW","EBLG","5.0"
"EIDW","EGPH","10.0"
"EFHK","ESQO","5.0"
"CYHM","KBUF","2.0"
"KSFO","VHHH","1.0"
"UMMS","EDDB","5.0"
