"Source","Target","flights_count"
"CA","LU","2"
"LU","IM","1"
"CZ","US","1"
"NL","CA","8"
"BE","NL","13"
"RU","CA","1"
"PT","CA","5"
"GR","DE","8"
"AT","HR","1"
"BY","ES","1"
"HR","SE","1"
"IT","CH","11"
"BE","IE","11"
"CA","QA","5"
"TR","UA","1"
"RO","QA","3"
"CZ","BA","2"
"GB","LU","2"
"RO","IL","1"
"BE","RS","1"
"CA","ES","1"
"FR","SE","7"
"CZ","BE","5"
"CO","BR","2"
"CH","NO","1"
"IL","MT","1"
"LK","RU","1"
"LU","BR","4"
"US","IL","1"
"IE","LT","1"
"TW","SE","1"
"PL","CA","1"
"CZ","QA","8"
"DE","SA","2"
"QA","AE","4"
"PM","CA","1"
"LU","HK","9"
"TH","HK","51"
"LV","RU","6"
"IN","NO","1"
"IN","BE","4"
"DE","LU","5"
"PL","TH","1"
"IM","LU","1"
"MY","IN","7"
"JP","AE","2"
"DK","DE","46"
"DK","ES","1"
"NL","RS","1"
"CY","DE","3"
"TR","AE","7"
"FR","CZ","1"
"FR","JP","2"
"US","BE","71"
"SE","DE","31"
"US","IS","11"
"KR","AU","5"
"BO","FR","1"
"HU","BY","2"
"US","DE","168"
"QA","IN","24"
"RU","BY","7"
"PL","GB","32"
"NL","FR","22"
"DE","CV","4"
"ES","NO","2"
"HK","TW","102"
"ES","KZ","2"
"NO","US","1"
"FI","NL","1"
"SE","KR","3"
"FI","CZ","1"
"MA","TR","4"
"US","GT","1"
"CY","PL","1"
"MY","CZ","1"
"SN","AE","1"
"GB","MY","8"
"FR","FI","9"
"BE","SI","2"
"ES","RU","7"
"FR","CH","18"
"IL","IE","1"
"FR","BR","4"
"AE","TR","11"
"NL","BR","7"
"SN","ES","1"
"TW","US","82"
"QA","KZ","3"
"SG","DK","5"
"CH","RU","2"
"BE","SE","13"
"AE","JP","2"
"BY","NL","3"
"AT","UA","1"
"SK","CZ","1"
"LU","MY","1"
"NO","TH","1"
"IL","TR","15"
"FR","PT","6"
"QA","JP","4"
"FI","NO","1"
"BN","AU","2"
"AE","CH","3"
"PL","RU","1"
"SA","US","1"
"NL","SK","1"
"KR","CN","21"
"IT","BR","2"
"CZ","AE","1"
"AE","AT","3"
"MY","HK","32"
"IL","CA","1"
"BE","CH","4"
"PT","GB","22"
"RO","BE","6"
"FI","GB","14"
"IE","RU","1"
"JP","KR","25"
"GB","BE","35"
"NO","CH","1"
"KR","PL","1"
"CN","HK","1"
"PL","US","5"
"DK","FI","5"
