"Source","Target","Weight"
"UUBW","UUEE","1.0"
"KLAS","KOAK","84.0"
"ULLI","URRP","11.0"
"LPSO","LPEV","2.0"
"KRDU","K1B9","1.0"
"EGSS","ENGM","7.0"
"LFRB","LFPO","3.0"
"EPPO","EPPO","41.0"
"LTFE","LTFJ","18.0"
"KTEB","KPUJ","1.0"
"UAAA","EDAM","2.0"
"EDDS","4GA6","3.0"
"EDMO","UUWW","1.0"
"KAUS","MA64","3.0"
"LDZA","EHAM","7.0"
"KGRB","5WI9","2.0"
"KPHL","LIRF","7.0"
"KBFI","KTTD","3.0"
"OBBI","LIMC","2.0"
"KDAL","KBNA","18.0"
"CYYZ","KCOS","2.0"
"KCMX","KSGS","1.0"
"KLAS","KIWA","14.0"
"51IL","51IL","1.0"
"EDVM","EKAE","1.0"
"KCEU","12SC","2.0"
"ESSA","EGPH","9.0"
"8WI2","KATW","1.0"
"LSZA","EDDB","1.0"
"LDZA","OTBD","4.0"
"KPWA","TA63","1.0"
"KLOM","4IN9","1.0"
"KMKC","4MO0","1.0"
"32PN","KBVI","1.0"
"EDAM","WSAP","1.0"
"KMKE","K63F","1.0"
"9NC9","KCLT","8.0"
"K5C1","KSJT","1.0"
"WI69","KY72","1.0"
"KDFW","7PS7","2.0"
"KORD","KGMU","1.0"
"KTEB","KWHP","10.0"
"KBUF","GA39","1.0"
"EDML","EDPO","1.0"
"KLAX","KU42","19.0"
"KLBB","58TE","3.0"
"9GA1","GE23","1.0"
"3VA7","FD81","1.0"
"LSGB","LFLI","1.0"
"KUES","MA43","1.0"
"KMDW","KHPN","6.0"
"EGGD","EGMC","1.0"
"KRDU","KRYY","2.0"
"KNY2","KPHL","2.0"
"OMAA","EGCC","2.0"
"KMQS","PA69","2.0"
"KDYL","KPHL","2.0"
"EGSS","BIKF","1.0"
"UAAA","LTFJ","3.0"
"EHAM","EGGP","15.0"
"KVUJ","K2A5","1.0"
"LSZM","LIPV","2.0"
"EGKK","LEJR","3.0"
"KMPI","KAUN","1.0"
"KLBE","PN66","4.0"
"KADS","K63F","1.0"
"PANC","KLAX","12.0"
"K3MY","LL64","2.0"
"KXLL","KSYR","1.0"
"KTPA","KDEN","7.0"
"FA08","KSVN","1.0"
"EPMR","LKLT","1.0"
"LFKJ","LFLL","8.0"
"FAOR","OMDB","12.0"
"LPPT","ELLX","18.0"
"KSJC","KMHR","13.0"
"K1C5","LL53","1.0"
"KJES","KRVJ","2.0"
"EKSP","EDXJ","1.0"
"LFRS","LFPO","10.0"
"LIRF","KCLT","5.0"
"EDFU","EDEW","1.0"
"KBUR","KCMA","4.0"
"LSGG","LIQL","1.0"
"UCFM","UAAR","1.0"
"OTHH","FARA","5.0"
"KRYN","KTUS","2.0"
"88PA","KFTY","1.0"
"CYYZ","KFTY","5.0"
"KMCC","KRNM","4.0"
"7PS7","KLNS","2.0"
"KHGR","KHOE","1.0"
"KSEE","CA76","4.0"
"LICZ","LIML","2.0"
"KUGN","FA40","1.0"
"LIED","EDDT","1.0"
"KAJO","KF70","4.0"
"KTUS","KMYF","2.0"
"KEMT","KSBA","4.0"
"KJZP","KJZP","6.0"
"EDDF","LIAT","2.0"
"ESSA","CYUL","1.0"
"KIWS","KJWN","2.0"
"KRNM","KCRQ","16.0"
"KORL","KHHR","4.0"
"LFLL","ESGG","2.0"
"LZIB","EGTC","1.0"
"MA07","MA07","1.0"
"4II8","IN60","1.0"
"KJFK","KPYM","2.0"
"KIGQ","KIGQ","6.0"
"LSPH","LSZO","1.0"
"KDVT","KSWF","1.0"
"KSAN","49TA","1.0"
"KEWR","PN01","1.0"
"ENNO","ENSN","1.0"
"YSSY","VIDP","4.0"
"EGTK","EGSX","1.0"
"KVDF","23FL","1.0"
"6GA0","CYHM","1.0"
"EDDV","LGAV","1.0"
"KISP","KMTN","1.0"
"SN42","KMKC","2.0"
"LFLS","EGBB","3.0"
"LFBO","EDDW","1.0"
"KTYQ","KMDW","1.0"
"EDDN","LIRP","2.0"
"KBWI","KCLE","7.0"
"KCTY","6FL4","1.0"
"KAND","KZPH","1.0"
"LSZA","EBAW","3.0"
"EGKK","LIML","20.0"
"EBKT","LFSG","1.0"
"K3L2","KVGT","1.0"
"KADS","KEFD","2.0"
"KUGN","KDAL","1.0"
"EPPO","LOWS","2.0"
"LGIR","UUDD","1.0"
"KX60","FL27","1.0"
"KLUK","CYHM","3.0"
"KOJC","KSUS","2.0"
"LSZM","LDSR","2.0"
"KCRQ","KIWA","6.0"
"LGAV","EDDM","3.0"
"KMDT","KORL","1.0"
"KRDU","KHFD","2.0"
"66FD","GA77","1.0"
"EDFC","EDFG","1.0"
"PS03","3PN3","1.0"
"KHHR","KL08","1.0"
"EDDW","LIME","1.0"
"1XS1","KEYQ","1.0"
"KFXE","CYYZ","2.0"
"61CL","KHHR","2.0"
"KMSP","KFNL","1.0"
"EPMO","LEMU","1.0"
"KNZY","KPHX","1.0"
"KPTK","KORD","2.0"
"ESKN","LEAL","3.0"
"KMDQ","KMGM","1.0"
"24PA","PS61","1.0"
"KLXL","KC29","1.0"
"EDDH","LWSK","1.0"
"LIRF","OMAA","3.0"
"YSCN","YSWG","1.0"
"KHSD","KGLE","1.0"
"EDFE","ETOU","1.0"
"KNUW","EDFH","1.0"
"EPWA","ENSI","2.0"
"LKPR","LBSF","1.0"
"KNHK","KDUJ","1.0"
"KTCM","WA96","1.0"
"YCES","YMPC","1.0"
"82OH","KAKH","1.0"
"KMMU","KBCT","1.0"
"02XS","KORD","2.0"
"EYVI","UKKK","1.0"
"KFYV","KPDK","1.0"
"KHOU","KOMA","5.0"
"EGCJ","EGND","1.0"
"LIPX","EHAM","1.0"
"KDBQ","WI81","1.0"
"KPIT","9WS2","1.0"
"KMMU","KAUS","1.0"
"EDDK","EHAM","1.0"
"FA46","51FD","1.0"
"EDMS","EDMQ","1.0"
"KSMO","KSQL","2.0"
"MMMX","PANC","3.0"
"LMML","EGNX","1.0"
"34CN","KHWD","1.0"
"KMSN","KUGN","1.0"
"LSZF","LSZG","1.0"
"KSMO","KOAK","2.0"
"93OH","82PA","1.0"
"LPPT","KOPF","2.0"
"KMTN","MD73","1.0"
"KVGT","47AZ","1.0"
"KBLI","KAPC","1.0"
"EVAH","EVAH","1.0"
"IS43","96IS","1.0"
"KADS","51TX","1.0"
"KSEE","KCMA","1.0"
"K8A1","8AL3","1.0"
"EBCI","EGLD","1.0"
"KSLC","LSZH","1.0"
"KBAK","9IN7","1.0"
"4MD6","MD31","1.0"
"EHEH","LFML","1.0"
"7OH2","KPWK","1.0"
"KCRQ","KGYR","1.0"
"KANP","KCGE","1.0"
"LFFW","LFPV","1.0"
"NY82","7NY1","1.0"
"KSDM","KCNO","1.0"
"53IN","02II","1.0"
"KOUN","3OK8","1.0"
"KTTN","KAUS","2.0"
"KRND","32TX","1.0"
"KASG","KTIK","1.0"
"2OL2","KROG","1.0"
"KORD","FL57","2.0"
"KP08","KDVT","1.0"
"KEDU","05CL","1.0"
"KGKY","3MO7","1.0"
"KEIK","KPUB","1.0"
"66CL","KRHV","2.0"
"96WA","KO60","1.0"
"LSGG","EBTY","2.0"
"KTAZ","05IS","1.0"
"LIML","EDDV","1.0"
"04MO","IS85","1.0"
"KCLT","KGHG","1.0"
"KCCB","KSMO","1.0"
"8MD5","14VA","2.0"
"8OH8","KBFD","1.0"
"KAKR","KJWN","1.0"
"WA17","WA17","1.0"
"EGKB","EDNY","1.0"
"LFPB","ULLI","1.0"
"KMKE","TA33","1.0"
"76MI","KBTL","2.0"
"PABV","47AK","1.0"
"KILG","KTYQ","1.0"
"KSAN","KTRM","1.0"
"EDDM","LOWS","1.0"
"LFPO","LMML","1.0"
"EYVI","LGSA","1.0"
"PN01","1PN1","1.0"
"EGBM","EG64","1.0"
"KMWC","KFCM","1.0"
"KORD","LHBP","2.0"
"KBAK","IN81","1.0"
"3TX9","KGTU","1.0"
"LFLC","EDDS","1.0"
"NY72","6FD6","1.0"
"94FL","2OA2","1.0"
"EDDT","LOWW","87.0"
"KPWK","K06C","2.0"
"EDDF","LFMY","5.0"
"KUDD","KRIR","1.0"
"KPAO","CA66","6.0"
"OMDB","YSSY","19.0"
"EDDM","LIPU","9.0"
"OMDB","VABB","83.0"
"LGIR","EDDM","2.0"
"KDFW","EDDF","19.0"
"KOWD","KOWD","19.0"
"EIDW","EGCC","68.0"
"KDAL","TS50","2.0"
"KSMF","KPWK","1.0"
"3PN9","KDXR","1.0"
"EKCH","LFPG","66.0"
